Order_ID,Customer_ID,Restaurant_ID,Order_Date,Subtotal,Status
1,6686,532,2025-05-15,1531.72,Delivered
2,3297,513,2025-09-07,352.14,Delivered
3,9782,1816,2024-01-06,2085.02,Delivered
4,3950,519,2026-01-05,1782.34,Delivered
5,2636,532,2024-12-04,330.13,Delivered
6,2886,1518,2025-03-08,1112.86,Delivered
7,798,921,2025-12-03,856.64,Delivered
8,5012,1558,2024-01-15,855.94,Delivered
9,5169,143,2025-09-14,452.93,Delivered
10,9502,1008,2025-11-18,183.21,Delivered
11,8505,71,2025-06-02,820.32,Delivered
12,8129,140,2024-10-16,832.48,Delivered
13,3801,1816,2026-04-19,1030.51,Delivered
14,8703,301,2024-11-21,1775.47,Delivered
15,218,1083,2024-12-24,1078.66,Delivered
16,1111,834,2024-04-16,183.21,Delivered
17,5790,698,2025-09-07,1009.09,Delivered
18,9461,1801,2024-10-16,233.48,Delivered
19,7348,51,2025-09-28,1066.89,Delivered
20,8885,1336,2025-12-27,1104.84,Delivered
21,595,1925,2025-10-09,708.26,Delivered
22,1164,1131,2024-07-25,1259.99,Delivered
23,8746,1874,2025-04-17,801.05,Delivered
24,6676,117,2024-09-01,115.23,Delivered
25,7336,848,2025-12-23,474.7,Delivered
26,3971,532,2025-06-06,384.76,Delivered
27,5706,1465,2024-11-12,935.01,Delivered
28,7699,1956,2025-06-05,817.68,Delivered
29,7411,529,2025-05-20,426.92,Delivered
30,9154,1325,2025-07-19,854.86,Delivered
31,7274,428,2024-11-23,855.64,Delivered
32,212,1144,2024-08-02,990.0,Delivered
33,1815,951,2025-08-31,1963.89,Delivered
34,5597,1946,2026-02-07,761.52,Delivered
35,6787,1224,2025-05-03,1601.48,Delivered
36,7416,706,2024-12-30,628.06,Delivered
37,4869,249,2025-11-25,1260.83,Delivered
38,9889,326,2025-08-10,443.89,Delivered
39,5986,476,2024-04-16,343.31,Delivered
40,7091,519,2025-05-02,100.37,Delivered
41,5642,1701,2024-03-17,678.46,Delivered
42,608,1133,2025-10-26,933.25,Delivered
43,8923,1064,2024-07-26,1228.09,Delivered
44,992,249,2024-06-30,941.81,Delivered
45,4903,1718,2026-02-03,1456.73,Delivered
46,8856,1456,2025-08-14,885.04,Delivered
47,5892,150,2024-05-21,1012.76,Delivered
48,5191,1426,2026-06-03,647.26,Delivered
49,8773,1102,2025-07-10,382.17,Delivered
50,4413,182,2025-11-24,824.45,Delivered
51,6385,938,2026-03-02,781.94,Delivered
52,7581,1002,2026-01-23,1287.55,Delivered
53,3533,364,2025-10-09,884.57,Delivered
54,4573,1890,2025-04-25,1022.16,Delivered
55,3101,1701,2024-05-05,1764.56,Delivered
56,3653,1349,2024-05-22,1699.82,Delivered
57,9499,948,2024-09-13,2038.12,Delivered
58,8834,836,2025-09-19,442.65,Delivered
59,59,1318,2024-02-22,523.6,Delivered
60,3327,1104,2024-06-11,1403.71,Delivered
61,149,140,2024-11-11,1184.1,Delivered
62,8254,1054,2025-08-21,1309.96,Delivered
63,6846,1617,2024-06-25,2095.98,Delivered
64,6335,940,2024-02-21,1160.26,Delivered
65,8920,116,2025-03-25,774.72,Delivered
66,3498,1581,2025-02-06,702.9,Delivered
67,270,437,2026-05-22,1343.55,Delivered
68,2495,532,2025-06-10,166.68,Delivered
69,6640,361,2024-11-15,1717.07,Delivered
70,7097,662,2026-04-06,129.84,Delivered
71,567,1513,2024-08-22,194.29,Delivered
72,3849,1059,2026-02-26,744.67,Delivered
73,5945,442,2026-05-07,573.76,Delivered
74,5428,1752,2025-04-09,1443.26,Delivered
75,1706,1755,2025-10-11,873.76,Delivered
76,1308,1732,2024-02-07,976.21,Delivered
